iter	Passed	Remaining
0	9	916
1	18	918
2	28	917
3	37	900
4	48	912
5	57	896
6	66	883
7	77	891
8	87	881
9	97	881
10	107	867
11	118	870
12	129	865
13	140	860
14	149	849
15	162	854
16	173	847
17	183	837
18	192	821
19	201	806
20	210	792
21	219	778
22	228	766
23	237	753
24	246	740
25	256	728
26	266	720
27	276	710
28	285	698
29	294	686
30	302	674
31	311	662
32	320	651
33	330	641
34	340	632
35	351	624
36	361	614
37	370	604
38	380	594
39	389	584
40	398	573
41	407	562
42	416	551
43	426	542
44	436	532
45	445	522
46	454	512
47	464	502
48	473	492
49	483	483
50	494	475
51	504	465
52	513	455
53	522	445
54	532	435
55	542	426
56	551	416
57	561	406
58	569	396
59	579	386
60	588	376
61	598	366
62	607	356
63	616	346
64	624	336
65	634	326
66	643	317
67	653	307
68	663	298
69	674	289
70	683	279
71	692	269
72	702	259
73	714	250
74	724	241
75	735	232
76	745	222
77	754	212
78	765	203
79	775	193
80	785	184
81	795	174
82	806	165
83	817	155
84	827	145
85	837	136
86	852	127
87	871	118
88	884	109
89	896	99
90	906	89
91	918	79
92	929	69
93	941	60
94	952	50
95	962	40
96	972	30
97	983	20
98	994	10
